, ,Label,Area,IntDen,RawIntDen,batch,stage,group,culture
12,13,MAX_w5c3-63xz-2.tif,0.8340000000000001,36.82,3754.0,batch1031,d0,50micron,w5c3-seg3
13,14,MAX_w5c3-63xz-2.tif,0.539,57.534,5866.0,batch1031,d0,50micron,w5c3-seg3
14,15,MAX_w5c3-63xz-2.tif,0.785,118.766,12109.0,batch1031,d0,50micron,w5c3-seg3
15,16,MAX_w5c3-63xz-2.tif,0.618,80.014,8158.0,batch1031,d0,50micron,w5c3-seg3
16,17,MAX_w5c3-63xz-2.tif,0.8340000000000001,89.195,9094.0,batch1031,d0,50micron,w5c3-seg3
17,18,MAX_w5c3-63xz-2.tif,1.0,81.956,8356.0,batch1031,d0,50micron,w5c3-seg3
18,19,MAX_w5c3-63xz-2.tif,1.255,90.244,9201.0,batch1031,d0,50micron,w5c3-seg3
0,1,MAX_w5c3-63xz-2.tif,0.598,64.165,6542.0,batch1031,d0,50micron,w5c3-seg4
1,2,MAX_w5c3-63xz-2.tif,1.216,76.425,7792.0,batch1031,d0,50micron,w5c3-seg4
2,3,MAX_w5c3-63xz-2.tif,0.638,65.803,6709.0,batch1031,d0,50micron,w5c3-seg4
3,4,MAX_w5c3-63xz-2.tif,0.961,82.633,8425.0,batch1031,d0,50micron,w5c3-seg4
4,5,MAX_w5c3-63xz-2.tif,0.461,46.391999999999996,4730.0,batch1031,d0,50micron,w5c3-seg4
5,6,MAX_w5c3-63xz-2.tif,0.373,35.26,3595.0,batch1031,d0,50micron,w5c3-seg4
6,7,MAX_w5c3-63xz-2.tif,0.863,77.916,7944.0,batch1031,d0,50micron,w5c3-seg4
7,8,MAX_w5c3-63xz-2.tif,1.197,127.574,13007.0,batch1031,d0,50micron,w5c3-seg4
8,9,MAX_w5c3-63xz-2.tif,0.883,89.52799999999999,9128.0,batch1031,d0,50micron,w5c3-seg4
9,10,MAX_w5c3-63xz-2.tif,0.294,40.939,4174.0,batch1031,d0,50micron,w5c3-seg4
10,11,MAX_w5c3-63xz-2.tif,0.5,54.592,5566.0,batch1031,d0,50micron,w5c3-seg4
0,1,MAX_w5c3-63xz-2.tif,0.324,28.473000000000003,2903.0,batch1031,d0,50micron,w5c3-seg5
1,2,MAX_w5c3-63xz-2.tif,0.363,40.723,4152.0,batch1031,d0,50micron,w5c3-seg5
2,3,MAX_w5c3-63xz-2.tif,1.4809999999999999,76.317,7781.0,batch1031,d0,50micron,w5c3-seg5
3,4,MAX_w5c3-63xz-2.tif,0.628,71.413,7281.0,batch1031,d0,50micron,w5c3-seg5
4,5,MAX_w5c3-63xz-2.tif,0.932,111.243,11342.0,batch1031,d0,50micron,w5c3-seg5
5,6,MAX_w5c3-63xz-2.tif,0.647,62.115,6333.0,batch1031,d0,50micron,w5c3-seg5
6,7,MAX_w5c3-63xz-2.tif,0.853,116.59899999999999,11888.0,batch1031,d0,50micron,w5c3-seg5
7,8,MAX_w5c3-63xz-2.tif,1.265,99.24799999999999,10119.0,batch1031,d0,50micron,w5c3-seg5
8,9,MAX_w5c3-63xz-2.tif,0.608,39.321,4009.0,batch1031,d0,50micron,w5c3-seg5
9,10,MAX_w5c3-63xz-2.tif,0.873,106.64299999999999,10873.0,batch1031,d0,50micron,w5c3-seg5
10,11,MAX_w5c3-63xz-2.tif,0.628,89.126,9087.0,batch1031,d0,50micron,w5c3-seg5
11,12,MAX_w5c3-63xz-2.tif,0.932,95.796,9767.0,batch1031,d0,50micron,w5c3-seg5
12,13,MAX_w5c3-63xz-2.tif,0.736,69.078,7043.0,batch1031,d0,50micron,w5c3-seg5
13,14,MAX_w5c3-63xz-2.tif,1.383,70.422,7180.0,batch1031,d0,50micron,w5c3-seg5
14,15,MAX_w5c3-63xz-2.tif,1.099,120.179,12253.0,batch1031,d0,50micron,w5c3-seg5
0,1,MAX_w3c1-63xz.tif,1.432,139.226,14195.0,batch1031,d0,sham,w3c1-seg1
1,2,MAX_w3c1-63xz.tif,1.432,127.554,13005.0,batch1031,d0,sham,w3c1-seg1
2,3,MAX_w3c1-63xz.tif,0.647,62.762,6399.0,batch1031,d0,sham,w3c1-seg1
3,4,MAX_w3c1-63xz.tif,0.677,81.515,8311.0,batch1031,d0,sham,w3c1-seg1
4,5,MAX_w3c1-63xz.tif,0.765,77.435,7895.0,batch1031,d0,sham,w3c1-seg1
5,6,MAX_w3c1-63xz.tif,0.765,82.26100000000001,8387.0,batch1031,d0,sham,w3c1-seg1
6,7,MAX_w3c1-63xz.tif,1.334,85.811,8749.0,batch1031,d0,sham,w3c1-seg1
7,8,MAX_w3c1-63xz.tif,0.745,62.988,6422.0,batch1031,d0,sham,w3c1-seg1
8,9,MAX_w3c1-63xz.tif,1.099,76.523,7802.0,batch1031,d0,sham,w3c1-seg1
9,10,MAX_w3c1-63xz.tif,1.187,102.61200000000001,10462.0,batch1031,d0,sham,w3c1-seg1
10,11,MAX_w3c1-63xz.tif,1.4609999999999999,145.287,14813.0,batch1031,d0,sham,w3c1-seg1
11,12,MAX_w3c1-63xz.tif,1.54,147.798,15069.0,batch1031,d0,sham,w3c1-seg1
12,13,MAX_w3c1-63xz.tif,0.638,53.768,5482.0,batch1031,d0,sham,w3c1-seg1
13,14,MAX_w3c1-63xz.tif,0.441,34.191,3486.0,batch1031,d0,sham,w3c1-seg1
14,15,MAX_w3c1-63xz.tif,1.246,182.794,18637.0,batch1031,d0,sham,w3c1-seg1
15,16,MAX_w3c1-63xz.tif,0.804,98.189,10011.0,batch1031,d0,sham,w3c1-seg1
16,17,MAX_w3c1-63xz.tif,1.501,166.237,16949.0,batch1031,d0,sham,w3c1-seg1
17,18,MAX_w3c1-63xz.tif,0.402,28.541999999999998,2910.0,batch1031,d0,sham,w3c1-seg1
18,19,MAX_w3c1-63xz.tif,0.33299999999999996,29.316,2989.0,batch1031,d0,sham,w3c1-seg1
19,20,MAX_w3c1-63xz.tif,0.951,69.255,7061.0,batch1031,d0,sham,w3c1-seg1
20,21,MAX_w3c1-63xz.tif,0.951,67.862,6919.0,batch1031,d0,sham,w3c1-seg1
21,22,MAX_w3c1-63xz.tif,0.53,45.263999999999996,4615.0,batch1031,d0,sham,w3c1-seg1
22,23,MAX_w3c1-63xz.tif,0.402,43.597,4445.0,batch1031,d0,sham,w3c1-seg1
23,24,MAX_w3c1-63xz.tif,0.43200000000000005,35.368,3606.0,batch1031,d0,sham,w3c1-seg1
24,25,MAX_w3c1-63xz.tif,0.5589999999999999,43.558,4441.0,batch1031,d0,sham,w3c1-seg1
25,26,MAX_w3c1-63xz.tif,1.069,94.148,9599.0,batch1031,d0,sham,w3c1-seg1
26,27,MAX_w3c1-63xz.tif,0.667,64.861,6613.0,batch1031,d0,sham,w3c1-seg1
27,28,MAX_w3c1-63xz.tif,0.608,71.472,7287.0,batch1031,d0,sham,w3c1-seg1
28,29,MAX_w3c1-63xz.tif,0.579,53.278,5432.0,batch1031,d0,sham,w3c1-seg1
29,30,MAX_w3c1-63xz.tif,0.902,66.528,6783.0,batch1031,d0,sham,w3c1-seg1
30,31,MAX_w3c1-63xz.tif,0.598,38.732,3949.0,batch1031,d0,sham,w3c1-seg1
31,32,MAX_w3c1-63xz.tif,1.02,95.698,9757.0,batch1031,d0,sham,w3c1-seg1
32,33,MAX_w3c1-63xz.tif,0.373,34.515,3519.0,batch1031,d0,sham,w3c1-seg1
33,34,MAX_w3c1-63xz.tif,0.49,48.089,4903.0,batch1031,d0,sham,w3c1-seg1
34,35,MAX_w3c1-63xz.tif,0.638,39.409,4018.0,batch1031,d0,sham,w3c1-seg1
35,36,MAX_w3c1-63xz.tif,0.569,48.168,4911.0,batch1031,d0,sham,w3c1-seg1
36,37,MAX_w3c1-63xz.tif,0.441,38.232,3898.0,batch1031,d0,sham,w3c1-seg1
37,38,MAX_w3c1-63xz.tif,1.422,91.598,9339.0,batch1031,d0,sham,w3c1-seg1
38,39,MAX_w3c1-63xz.tif,0.49,35.819,3652.0,batch1031,d0,sham,w3c1-seg1
39,40,MAX_w3c1-63xz.tif,0.687,66.48899999999999,6779.0,batch1031,d0,sham,w3c1-seg1
40,41,MAX_w3c1-63xz.tif,0.647,45.273999999999994,4616.0,batch1031,d0,sham,w3c1-seg1
41,42,MAX_w3c1-63xz.tif,0.912,87.469,8918.0,batch1031,d0,sham,w3c1-seg1
42,43,MAX_w3c1-63xz.tif,1.079,60.84,6203.0,batch1031,d0,sham,w3c1-seg1
43,44,MAX_w3c1-63xz.tif,0.981,136.234,13890.0,batch1031,d0,sham,w3c1-seg1
0,1,MAX_w1c2-63xz-1.tif,0.794,31.455,3207.0,batch1031,d3,200nano,w1c2-seg1
1,2,MAX_w1c2-63xz-1.tif,0.961,101.29799999999999,10328.0,batch1031,d3,200nano,w1c2-seg1
2,3,MAX_w1c2-63xz-1.tif,0.961,119.178,12151.0,batch1031,d3,200nano,w1c2-seg1
3,4,MAX_w1c2-63xz-1.tif,0.53,34.26,3493.0,batch1031,d3,200nano,w1c2-seg1
4,5,MAX_w1c2-63xz-1.tif,1.716,86.57600000000001,8827.0,batch1031,d3,200nano,w1c2-seg1
5,6,MAX_w1c2-63xz-1.tif,0.902,124.04299999999999,12647.0,batch1031,d3,200nano,w1c2-seg1
6,7,MAX_w1c2-63xz-1.tif,0.961,74.904,7637.0,batch1031,d3,200nano,w1c2-seg1
7,8,MAX_w1c2-63xz-1.tif,1.4709999999999999,204.715,20872.0,batch1031,d3,200nano,w1c2-seg1
8,9,MAX_w1c2-63xz-1.tif,1.03,44.382,4525.0,batch1031,d3,200nano,w1c2-seg1
9,10,MAX_w1c2-63xz-1.tif,0.8140000000000001,40.135,4092.0,batch1031,d3,200nano,w1c2-seg1
10,11,MAX_w1c2-63xz-1.tif,0.353,30.915,3152.0,batch1031,d3,200nano,w1c2-seg1
11,12,MAX_w1c2-63xz-1.tif,0.706,40.9,4170.0,batch1031,d3,200nano,w1c2-seg1
12,13,MAX_w1c2-63xz-1.tif,0.804,67.637,6896.0,batch1031,d3,200nano,w1c2-seg1
13,14,MAX_w1c2-63xz-1.tif,1.128,50.365,5135.0,batch1031,d3,200nano,w1c2-seg1
14,15,MAX_w1c2-63xz-1.tif,1.452,102.759,10477.0,batch1031,d3,200nano,w1c2-seg1
15,16,MAX_w1c2-63xz-1.tif,1.236,155.066,15810.0,batch1031,d3,200nano,w1c2-seg1
16,17,MAX_w1c2-63xz-1.tif,1.4809999999999999,88.969,9071.0,batch1031,d3,200nano,w1c2-seg1
17,18,MAX_w1c2-63xz-1.tif,1.099,97.542,9945.0,batch1031,d3,200nano,w1c2-seg1
18,19,MAX_w1c2-63xz-1.tif,0.912,101.975,10397.0,batch1031,d3,200nano,w1c2-seg1
19,20,MAX_w1c2-63xz-1.tif,2.217,311.888,31799.0,batch1031,d3,200nano,w1c2-seg1
20,21,MAX_w1c2-63xz-1.tif,1.589,56.778999999999996,5789.0,batch1031,d3,200nano,w1c2-seg1
21,22,MAX_w1c2-63xz-1.tif,1.3730000000000002,83.93799999999999,8558.0,batch1031,d3,200nano,w1c2-seg1
22,23,MAX_w1c2-63xz-1.tif,1.1179999999999999,66.705,6801.0,batch1031,d3,200nano,w1c2-seg1
23,24,MAX_w1c2-63xz-1.tif,0.951,28.531999999999996,2909.0,batch1031,d3,200nano,w1c2-seg1
24,25,MAX_w1c2-63xz-1.tif,1.304,36.702,3742.0,batch1031,d3,200nano,w1c2-seg1
25,26,MAX_w1c2-63xz-1.tif,1.099,39.821,4060.0,batch1031,d3,200nano,w1c2-seg1
26,27,MAX_w1c2-63xz-1.tif,1.187,60.575,6176.0,batch1031,d3,200nano,w1c2-seg1
27,28,MAX_w1c2-63xz-1.tif,2.648,351.57099999999997,35845.0,batch1031,d3,200nano,w1c2-seg1
0,1,MAX_w4c3-63xz-1.tif,1.942,156.174,15923.0,batch1031,d3,50micron,w4c3-seg1
1,2,MAX_w4c3-63xz-1.tif,1.746,87.792,8951.0,batch1031,d3,50micron,w4c3-seg1
2,3,MAX_w4c3-63xz-1.tif,0.951,134.05700000000002,13668.0,batch1031,d3,50micron,w4c3-seg1
3,4,MAX_w4c3-63xz-1.tif,1.834,156.116,15917.0,batch1031,d3,50micron,w4c3-seg1
4,5,MAX_w4c3-63xz-1.tif,0.863,36.614000000000004,3733.0,batch1031,d3,50micron,w4c3-seg1
5,6,MAX_w4c3-63xz-1.tif,0.42200000000000004,17.184,1752.0,batch1031,d3,50micron,w4c3-seg1
6,7,MAX_w4c3-63xz-1.tif,0.794,44.911,4579.0,batch1031,d3,50micron,w4c3-seg1
7,8,MAX_w4c3-63xz-1.tif,0.873,64.459,6572.0,batch1031,d3,50micron,w4c3-seg1
8,9,MAX_w4c3-63xz-1.tif,0.677,62.115,6333.0,batch1031,d3,50micron,w4c3-seg1
9,10,MAX_w4c3-63xz-1.tif,1.854,136.872,13955.0,batch1031,d3,50micron,w4c3-seg1
10,11,MAX_w4c3-63xz-1.tif,0.53,50.217,5120.0,batch1031,d3,50micron,w4c3-seg1
